Title                                          , Description                                                                                                                                                                                             , Tier    , Category     , Why_It_Matters                                                                , Drill                                                                                      , Proof_of_Mastery                                                                            , Example                                                                                                               , Interview_Prompt                                                , Estimated_Time_Min, Difficulty_1to5, Status     , Notes
Competency scope (80/20)                       , "Focus on day-to-day React skills: JSX, state/effects, lists/keys, forms, composition, context, performance basics, routing, testing. Push fiber internals & exotic patterns to optional."              , Core    , Orientation  , These cover most production code and interview questions without rabbit holes., Skim the table and mark Core as must-do; Pro as stretch; Optional as reference.            , You can build a small app and defend tradeoffs in an interview.                             , n/a                                                                                                                   , What does 'React is just functions + state' mean in practice?   ,                  5,               1, Not started, 
JSX & component basics                         , "Create function components, return JSX, pass props, and render lists/conditionals."                                                                                                                    , Core    , Fundamentals , Everything in React builds on components and JSX.                             , Build <UserCard name='Ada' /> and a list of users with conditional 'Verified' badge.       , No runtime errors; props are typed; UI renders as expected.                                 , function User({name}:{name:string}){return <h3>{name}</h3>}                                                           , How does JSX compile? Why must components be capitalized?       ,                 20,               1, Not started, 
Lists & keys (stable identity)                 , Render arrays with map and use stable keys that survive reordering (not indexes).                                                                                                                       , Core    , Rendering    , Incorrect keys cause subtle state bugs and janky UI.                          , Reorder a list with inputs; observe broken state with index keys; fix with stable keys.    , State sticks with items after reordering; no warnings.                                      , <li key={user.id}>{user.name}</li>                                                                                    , Why are array indexes as keys a bug in reorderable lists?       ,                 15,               2, Not started, 
Props vs state & lifting state                 , Differentiate parent-provided props from component-owned state. Lift state up when multiple children need it.                                                                                           , Core    , State        , Correct ownership prevents prop-drilling & duplication.                       , Build a <SearchBox> controlled by parent; share its value with a <Results> component.      , Single source of truth is obvious; no stale copies.                                         , "const [q,setQ]=useState(''); <SearchBox value={q} onChange={setQ}/>"                                                 , When do you lift state vs derive it locally?                    ,                 20,               2, Not started, 
Controlled inputs & events                     , Wire inputs/selects/textareas as controlled components; handle events without unnecessary re-renders.                                                                                                   , Core    , Forms        , Forms are the #1 source of bugs in apps.                                      , Email/password form with validation message and disabled submit until valid.               , Typing is responsive; state reflects each keystroke; no uncontrolled-to-controlled warnings., <input value={email} onChange={e=>setEmail(e.target.value)} />                                                        , Controlled vs uncontrolled components: tradeoffs?               ,                 25,               2, Not started, 
useState patterns (functional updates)         , Use functional setState when new state depends on old; avoid stale closures.                                                                                                                            , Core    , Hooks        , Prevents race conditions and unnecessary effects.                             , Counter with setCount(c=>c+1) repeated increments; batch updates.                          , No missed increments; predictable updates.                                                  , setCount(c=>c+1)                                                                                                      , Why prefer functional updates sometimes?                        ,                 15,               2, Not started, 
useEffect basics: deps & cleanup               , Run effects for I/O or subscriptions; set dependencies; return cleanup to avoid leaks.                                                                                                                  , Core    , Hooks        , Most interview bugfix tasks involve effect misuse.                            , Subscribe to window resize; clean up on unmount; explain dependency array.                 , No duplicate subscriptions; cleanup runs reliably.                                          , "useEffect(()=>{window.addEventListener('resize',fn);return()=>window.removeEventListener('resize',fn)},[])"          , What belongs in dependencies and why?                           ,                 25,               3, Not started, 
Data fetching with effect + abort              , "Fetch in useEffect, handle loading/error, and cancel with AbortController on re-run/unmount."                                                                                                          , Core    , Data         , Prevents race conditions and zombies in UIs.                                  , Fetch users on query change; cancel previous request; show loading/error states.           , No setState on unmounted component; quick typing cancels prior requests.                    , "const ac=new AbortController(); fetch(url,{signal:ac.signal})"                                                       , How do you avoid stale results when a request arrives late?     ,                 30,               3, Not started, 
useRef for DOM & mutable values                , Use refs for imperative DOM access and stable mutable containers across renders.                                                                                                                        , Core    , Hooks        , Avoids state re-renders for non-UI data and DOM interop.                      , Focus an input with a button; store a timeout ID in a ref.                                 , No unnecessary re-renders; ref.current is used correctly.                                   , const inputRef=useRef<HTMLInputElement>(null); inputRef.current?.focus()                                              , When would you use a ref instead of state?                      ,                 15,               2, Not started, 
"Memoization: React.memo, useMemo, useCallback", Avoid overuse; apply to expensive calculations or stable callback props to prevent child re-renders.                                                                                                    , Core    , Performance  , Right-sized performance without complexity.                                   , Profile a slow list; memo child rows; stabilize item renderer with useCallback.            , Measured re-renders drop; code remains readable.                                            , "const onSelect=useCallback((id)=>{...},[deps])"                                                                      , When does memoization hurt more than it helps?                  ,                 25,               3, Not started, 
